Dystans (m),Wysokość (m)
926.2168353050383,607.3849487304688
931.7300307532827,611.2007446289062
937.2432262015269,615.4231567382812
942.7564216497711,619.663330078125
948.2696170980155,624.255859375
953.7828125462597,629.464599609375
959.2960079945041,634.7049560546875
964.8092034427483,639.8143310546875
970.3223988909925,644.200927734375
975.8355943392369,648.6278686523438
981.3487897874811,653.1322021484375
986.8619852357255,658.5302124023438
992.3751806839697,663.9420776367188
997.8883761322139,669.363037109375
1003.4015715804583,674.3644409179688
1008.9147670287025,679.2688598632812
1014.4279624769467,684.1759643554688
1019.9411579251911,688.9470825195312
1025.4543533734354,693.6370239257812
1030.9675488216797,698.328125
1036.480744269924,702.850341796875
1041.9939397181681,707.1669311523438
1047.5071351664124,711.4949340820312
1053.0203306146568,715.7102661132812
1058.533526062901,719.5792846679688
1064.0467215111453,723.4566040039062
1069.5599169593895,727.2786254882812
1075.0731124076337,730.302001953125
1080.5863078558782,733.2984008789062
1086.0995033041224,736.2650756835938
1091.6126987523667,738.0675048828125
1097.125894200611,739.6788940429688
1102.6390896488551,741.2363891601562
1108.1522850970994,742.5379028320312
1113.6654805453438,743.767578125
1119.178675993588,745.0206298828125
1124.6918714418323,746.1860961914062
1130.2050668900765,747.1978149414062
1135.7182623383208,748.1333618164062
1141.2314577865652,749.3802490234375
1146.7446532348094,751.3563232421875
1152.2578486830537,753.32958984375
1157.771044131298,754.8697509765625
1163.2842395795421,754.0828247070312
1168.7974350277866,753.3355712890625
1174.3106304760308,752.6281127929688
1179.823825924275,751.6038208007812
1185.3370213725193,750.5714721679688
1190.8502168207635,749.4868774414062
1196.363412269008,748.95166015625
1201.8766077172522,748.547119140625
1207.3898031654965,748.1160888671875
1212.9029986137407,747.5411376953125
1218.416194061985,746.8815307617188
1223.9293895102292,746.2193603515625
1229.4425849584736,745.1494750976562
1234.9557804067178,743.5126342773438
1240.468975854962,741.8701782226562
1245.9821713032063,739.8145141601562
1251.4953667514505,736.4039306640625
1257.008562199695,732.9526977539062
1262.5217576479392,729.4848022460938
1268.0349530961835,726.4390869140625
1273.5481485444277,723.3773803710938
1279.061343992672,720.2996215820312
1284.5745394409164,717.8111572265625
1290.0877348891606,715.376708984375
1295.6009303374049,712.9002685546875
1301.114125785649,710.4989624023438
1306.6273212338933,708.1001586914062
1312.1405166821378,705.646484375
1317.653712130382,702.9248046875
1323.1669075786263,699.9413452148438
1328.6801030268705,696.912353515625
1334.1932984751147,693.7066650390625
1339.7064939233592,690.178955078125
1345.2196893716034,686.619140625
1350.7328848198476,683.0445556640625
1356.2460802680919,679.55419921875
1361.759275716336,676.0341796875
1367.2724711645803,672.4845581054688
1372.7856666128248,669.0863647460938
1378.298862061069,665.704345703125
1383.8120575093133,662.3292846679688
1389.3252529575575,659.2432861328125
1394.8384484058017,656.2962646484375
1400.3516438540462,653.4066162109375
1405.8648393022904,650.5061645507812
1411.3780347505347,647.67919921875
1416.8912301987789,644.860595703125
1422.4044256470231,641.7472534179688
1427.9176210952676,638.0607299804688
1433.4308165435118,634.214111328125
1438.944011991756,629.9451904296875
1444.4572074400003,624.5630493164062
1449.9704028882445,619.065185546875
1455.483598336489,613.4554443359375
1460.9967937847332,607.9430541992188
1466.5099892329774,602.468994140625
1472.0231846812217,597.033203125
1477.536380129466,592.9451904296875
1483.0495755777101,589.2106323242188
1488.5627710259546,585.5921020507812
1494.0759664741988,582.7576904296875
1499.589161922443,580.350341796875
1505.1023573706873,578.0175170898438
1510.6155528189315,577.5254516601562
1516.128748267176,579.0145874023438
1521.6419437154202,580.59912109375
1527.1551391636644,582.4727172851562
1532.6683346119087,584.80517578125
1538.181530060153,587.065673828125
1543.6947255083974,589.149658203125
1549.2079209566416,590.315185546875
1554.7211164048858,591.455322265625
1560.23431185313,592.5701293945312
1565.7475073013743,593.2078857421875
1571.2607027496188,593.8078002929688
1576.773898197863,594.4085083007812
1582.2870936461072,594.7283935546875
1587.8002890943515,594.9576416015625
1593.3134845425957,595.1968383789062
1598.8266799908401,595.4089965820312
1604.3398754390844,595.6038818359375
1609.8530708873286,595.811767578125
1615.3662663355728,596.2654418945312
1620.879461783817,597.1246337890625
1626.3926572320613,597.98876953125
1631.9058526803058,598.9349365234375
1637.41904812855,600.2323608398438
1642.9322435767942,601.5540771484375
1648.4454390250385,602.9012451171875
1653.9586344732827,604.6679077148438
1659.4718299215272,606.3871459960938
1664.9850253697714,608.0590209960938
1670.4982208180156,609.096435546875
1676.0114162662599,609.9571533203125
1681.524611714504,610.7708740234375
1687.0378071627485,611.3936767578125
1692.5510026109928,611.9404907226562
1698.064198059237,612.5059204101562
1703.5773935074812,613.1475219726562
1709.0905889557255,613.8954467773438
1714.60378440397,614.6862182617188
1720.1169798522142,615.549072265625
1725.6301753004584,616.5094604492188
1731.1433707487026,617.4822387695312
1736.6565661969469,618.4473266601562
1742.169761645191,619.1715087890625
1747.6829570934356,619.84814453125
1753.1961525416798,620.4771118164062
1758.709347989924,620.329833984375
1764.2225434381683,620.005859375
1769.7357388864125,619.5845336914062
1775.248934334657,618.4983520507812
1780.7621297829012,617.1239013671875
1786.2753252311454,615.6934204101562
1791.7885206793896,614.145263671875
1797.3017161276339,612.5421752929688
1802.8149115758783,610.9557495117188
1808.3281070241226,609.3510131835938
1813.8413024723668,607.7070922851562
